title,publication_date,authors,source,keywords,abstract,themes,method_type,core_question,is_emerging_topic,analysis_error
,,,,,,Selective avoidance and disconnective practices as forms of political participation in digital publics; Partisan polarization and fragmentation of networked public spheres; Political incivility and block talk in non-Western social media contexts,unknown,"How do disconnective behaviors (blocking, selective avoidance) and political incivility contribute to partisan polarization and fragmentation of the public sphere on Persian Twitter?",true,
,,,,,,Media effects beyond exposure measures; Subjective appraisal and meaning-making of technology use; Digital media use and sleep/well-being,qualitative,"How do people subjectively appraise and make sense of their evening social media use in context, moving beyond mere exposure-based measures?",true,
,,,,,,Digital intimacy and parasocial relationships in creator-audience dynamics; Self-presentation and identity negotiation across multiplatform ecosystems; Platform affordances and their influence on content creator labor and monetization strategies,unknown,How do music content creators and musicians negotiate their online identities across Patreon and YouTube through self-presentation tactics to cultivate digital intimacy with fans?,true,
,,,,,,Sociological theory of epistemic power in AI systems; Generative AI as knowledge infrastructure within platform convergence; The structural capacity of AI to shape knowledge production and validation,unknown,How does generative AI acquire and exercise epistemic power within the context of AI-centered platform convergence?,true,
,,,,,,Algorithmic governance and platform precarity; Ethnoreligious identity and digital self-presentation; Sociopolitical contingency and content creation strategies,qualitative,How do ethnoreligious content creators navigate algorithmic environments on Instagram in response to shifting offline sociopolitical conditions and precarity?,true,
,,,,,,Misinformation problem framing and its influence on intervention design; Critical reexamination of dominant narratives in misinformation research; Theoretical reconfiguration of solutions-oriented communication scholarship,unknown,How does reframing the problem of misinformation reshape the range and nature of proposed solutions?,true,
,,,,,,Platform governance and ethical moderation of sensitive content; User vulnerability and trauma-informed media consumption; Responsibility attribution in socio-technical systems for mental health,unknown,How should responsibility for harm from mental illness-related content be distributed between users and social media platforms?,true,
,,,,,,Commodification of Black womanhood within digital economies of social media visibility; Racework and racial performativity as labor in interracial intimate relationships; Multimodal constructions of whiteness and racial uplift narratives in platformized self-presentation,unknown,How does the Black Wife Effect trend on TikTok construct and commodify Black womanhood through the discursive and visual framing of interracial relationships as mechanisms of racial uplift and personal transformation for white men?,true,
,,,,,,Digital Islam and online religious authority formation; Everyday influencers as organic religious knowledge producers; Liquid authority and networked legitimation in Muslim communities,qualitative,How do everyday influencers reshape religious authority and credibility among young Muslims through digital Islamic practices?,true,
,,,,,,Intersectionality of marginalized identities in digital public spheres; Online harassment as a mechanism of political silencing and democratic backsliding; Affective and experiential costs of political participation on social media,quantitative,How do intersecting religious and gender identities shape the differential experiences of online harassment and the perceived costs of political engagement on social media?,true,
,,,,,,Negative campaigning and political communication strategy; Cross-platform social media dynamics in electoral politics; Longitudinal analysis of digital political discourse; Supply-demand framework for understanding political messaging,unknown,"How has the supply and demand of negative campaigning by Norwegian political parties evolved across Facebook, Instagram, and Twitter from 2013 to 2024?",false,
,,,,,,Platform-mediated maternal subjectivity and digital victimhood; Gendered affective labor and monetization of pain in creator economies; Neoliberal motherhood and the commodification of reproductive suffering on social media,qualitative,"How do mom creators on Xiaohongshu articulate maternal pain and reproductive suffering as a form of digital victimhood, and what does this reveal about platform-mediated modes of maternal subjectivity?",true,
,,,,,,Media effects theories and technology-induced stress/well-being; Adolescent digital media use and coping mechanisms; Ecological momentary assessment of smartphone-screen time interactions,quantitative,Whether smartphone use functions as a stress-inducing or stress-buffering mechanism for adolescents in their daily lives.,true,
,,,,,,Justification theory and moral reasoning in professional practice; Political economy of accessibility in digital media industries; Disability studies and inclusive game design as a sociotechnical challenge,qualitative,How do game industry practitioners discursively justify (or fail to justify) investments in accessibility features when balancing moral imperatives against financial and legal constraints?,true,
,,,,,,Affective labor and parasocial authenticity in human-AI/human-character romantic relationships; Reciprocal love as a negotiated construct in ludic narrative spaces; Cultural specificity of romance discourses in East Asian digital game contexts; Interplay of player agency and scripted narrative in constructing meaningful emotional bonds; Gendered emotional labor and identity performance through gameplay,qualitative,"How do players construct and articulate emotionally meaningful relationships in otome games, and what thematic patterns emerge in their accounts of authentic romance and reciprocal love?",true,
,,,,,,Interface control as a site of geopolitical power struggles in digital communication; The restructuring of communication power through the transition from search engines to AI agents; Analytical frameworks for understanding global communication power across digital interfaces,unknown,"How does global communication power manifest across key digital interfaces—search engines, social media, and AI agents—and how is this power being restructured through shifts in interface control?",true,
,,,,,,Platform visibility and algorithmic governance as tools of control over feminist discourse; Gendered censorship and the negotiation of feminist identity on short-video platforms; Participatory surveillance and self-censorship among feminist content creators,qualitative,"How do feminist content creators on Douyin navigate platform visibility, governance, and gendered censorship to disseminate feminist discourse?",true,
,,,,,,Consumer socialization theory in digital media environments; Reverse socialization and intergenerational knowledge transfer within families; Platform affordances and algorithmic curation as socializing agents,qualitative,How does TikTok function as a consumer socialization agent for adolescents and how does it facilitate reverse intergenerational knowledge exchange within families?,true,
,,,,,,Uncertainty Reduction Theory (URT) extension beyond interpersonal dyads; Human-AI socio-emotional relationship formation and maintenance; Collective/communal strategies for navigating technological uncertainty,mixed methods,How do users employ communal uncertainty reduction strategies to navigate uncertainty in human-AI socio-emotional relationships?,true,
,,,,,,Social media as a space for counter-stereotypical identity construction and representation of women in STEM; Visual communication and digital place-making as strategies for challenging gendered occupational stereotypes; Platform affordances of TikTok and their role in facilitating community-building and visibility for marginalized professional groups,mixed methods,How do women in STEM use TikTok's visual and platform-specific features to create digital spaces that challenge gendered stereotypes and construct alternative professional identities?,true,
,,,,,,Children's misinformation perception and coping strategies; Age-sensitive digital media literacy development; Ethnographic and survey-based child-centered media research,mixed methods,"How do children aged 5–12 years perceive, experience, and respond to misinformation on social media?",true,
,,,,,,News-Finds-Me (NFM) perception as a digital media effect on political information behavior; Remediation strategies for combating passive news consumption in social media environments; Unintended consequences of media literacy interventions on political learning outcomes,experimental,"Do educational warnings designed to correct the News-Finds-Me perception effectively reduce NFM beliefs and improve political learning, or do they produce unintended side effects that hinder knowledge acquisition?",true,
,,,,,,Platformisation and its effects on journalistic content; Algorithmic curation and homogenisation of news; Erosion of media diversity and topical plurality across outlet types,text analysis,How does platformisation flatten topical diversity across different types of news outlets?,true,
